atNo	atNo2	atNoSelfTest	atNoSelfTest2	idNo	idNo2	idNo3	manufacturer	testName	targetAntigen	cqLow	cqMid	cqHigh	totalSensitivity	passedSensitivityCriteria	omicronDetection
AT001/20		AT1208/21		GCCOV-502a-H5			Healgen Scientific Limited Liability Company (Siemens Healthineers)	CLINITEST® Rapid COVID-19 Antigen Test	N	100,00%	87,00%	0,00%	76,00%	y	n
AT563/21				HYT-G01			Hoyotek Biomedical Co., Ltd.	Corona Virus (COVID-19) Antigen Rapid Test (Colloidal Gold)	N	90,00%	10,00%	0,00%	40,00%	y	y
AT1076/21							Hubei Jinjian Biology Co.,Ltd.	SARS-CoV-2 Antigen Test Kit (Colloidal Gold Method)	N	100,00%	65,00%	0,00%	66,00%	y	n
AT083/20				ACOVA-7025			Humasis Co., Ltd.	Humasis COVID-19 Ag Test	N+S	88,20%	21,70%	0,00%	40,00%	y	n
AT637/21				BT1389			Innova Medical Group,Inc.	INNOVA SARS-CoV-2 Selbsttest (Qualitativer-Antigen-Schnelltest)	N	100,00%	100,00%	80,00%	96,00%	y	n
AT1073/21							Innovation Biotech (Beijing) Co. LTD	INVBIO One Step Diagnostic Rapid Test Cassette	N	100,00%	100,00%	70,00%	94,00%	y	y
AT247/21							Innovation Biotech (Beijing) Co.,Ltd	INVBIO Antigen Rapid Test Device (Saliva)	N	95,00%	25,00%	0,00%	48,00%	y	y
AT199/21							Innovita (Tangshan) Biological Technology Co.; LTD.	2019-nCoV Ag Test (Latex Chromatography Assay)	N	85,00%	5,00%	0,00%	36,00%	y	y
AT981/21	AT574/21			ITP16010-TC25			InTec Products, Inc.	Rapid SARS-CoV-2 Antigen Test Colloidal Gold (Nasopharyngeal/Nasal specimen)	N	100,00%	95,00%	30,00%	84,00%	y	y
AT849/21							Jiangsu Bioperfectus Technologies Co., Ltd.	Novel Coronavirus (SARS-CoV-2) Ag Rapid Test Kit	N	100,00%	75,00%	0,00%	70,00%	y	y
AT418/20							Jiangsu Diagnostics Biotechnology Co., Ltd	COVID-19 Antigen Rapid Test Cassette (Colloidal Gold)	N	100,00%	78,30%	0,00%	68,00%	y	y
AT231/20							Jiangsu Konsung Bio-Medical Science And Technology Co., Ltd	Konsung COVID-19 Antigen Rapid Test Kit	N	100,00%	70,00%	30,00%	74,00%	y	y
AT244/20		AT1298/21		1031-02			Jiangsu Medomics Medical Technology Co., Ltd	SARS-CoV-2-Antigen-Testkit (LFIA)	N	94,10%	21,70%	0,00%	42,00%	y	y
AT1082/21				R220T001B0C0			Jiangsu Mole Bioscience Co., Ltd	SARS-CoV-2 Antigen Test Cassette	N	100,00%	65,00%	0,00%	66,00%	y	y
AT883/21				CO-05			Jiangsu Well Biotech Co., Ltd.	COVID-19 Schnelltestgerät	N	100,00%	95,00%	40,00%	86,00%	y	n
AT770/21							Jiangxi Province JinHuan Medical Instrument Co.,LTD.	COVID-19 antigen Schnelltest (Kolloidales Gold) / Novel Coronavirus(SARS-CoV-2) Antigen Rapid Detection Kit	N	100,00%	95,00%	60,00%	90,00%	y	y
AT882/21							Jiaxing Wisetest Bio-Tech Co., Ltd.	Saliva SARS-CoV-2 (2019-nCoV) Antigen Test Kit (Nanocarbon Assay)	N	85,00%	15,00%	10,00%	42,00%	y	n
AT559/21							Jinan Babio Biotechnology Co., Ltd.	SARS-CoV-2 Antigen Rapid Detection Kit (Colloidal Gold Method)	N	100,00%	35,00%	0,00%	54,00%	y	y
AT236/20		AT1276/21					Joinstar Biomedical Technology Co., Ltd  (CIV care impuls Vertrieb)	COVID-19 Antigen Schnelltest (Colloidal Gold)	N	100,00%	60,90%	0,00%	64,00%	y	y
AT527/20				COV-AG-20	G10313		JOYSBIO (Tianjin) Biotechnology Co., Ltd.	SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold) SPUCKTEST	N	100,00%	90,00%	0,00%	76,00%	y	n
AT692/21				G10322			JOYSBIO (Tianjin) Biotechnology Co.,Ltd.	Joysbio SARS-CoV-2 Antigen rapid test kit -PRO (Colloidal Gold)	N	100,00%	35,00%	0,00%	54,00%	y	n
AT127/20		AT1284/21	AT1155/21	B63000			Labnovation Technologies, Inc.	Labnovation SARS-CoV-2 Antigen Rapid Test Kit (Immunochromatography)	N	94,10%	17,40%	0,00%	40,00%	y	y
AT1054/21							Lifecosm Biotech Limited	COVID-19 Rapid Test Cassette Antigen Test Kit	N	100,00%	100,00%	100,00%	100,00%	y	y
AT455/20				PR210101			Lumigenex (Suzhou) Co., Ltd.	PocRoc SARS-CoV-2, Antigen Schnelltest Set (Kolloidales Gold)	N	100,00%	65,20%	0,00%	64,00%	y	n
AT151/20				71110			LumiQuick Diagnostics, Inc.	Quick Profile Covid-19 Antigen Test Card	N	100,00%	91,30%	20,00%	80,00%	y	y
AT075/20				SPEC-32312 R2 ART-00571 R4			LumiraDX	LumiraDx SARS-CoV-2 Ag Test	N	100,00%	52,20%	0,00%	60,00%	y	y
AT012/20				76748			MEDsan GmbH	MEDsan® SARS-CoV-2 Antigen Rapid Test	N	100,00%	47,80%	0,00%	58,00%	y	n
AT214/20				CP01810011			Merlin Biomedical (Xiamen) Co., Ltd.	SARS-CoV-2 Antigen Rapid Test Cassette	N	100,00%	82,60%	0,00%	72,00%	y	n
AT790/21				CP02150011			Merlin Biomedical (Xiamen) Co., Ltd.	SARS-CoV-2 Antigen Rapid Test Cassette	N	100,00%	55,00%	0,00%	62,00%	y	n
AT047/20				0230005SP			Mölab GmbH	mö-screen Corona Antigen Test	N	100,00%	47,80%	0,00%	58,00%	y	n
AT198/20				07AG6020B			MP Biomedicals Germany GmbH	Rapid SARS-CoV-2 Antigen Test Card	N	100,00%	43,50%	0,00%	54,00%	y	n
AT823/21		AT1281/21		0000000168			MSP bodmann GmbH	MSP SARS-CoV-2 Antigen-Schnelltest	N	100,00%	20,00%	0,00%	48,00%	y	n
AT021/20		AT1293/21		243103N-20			nal von minden gmbh	NADAL® COVID-19 Ag Schnelltest	N	83,30%	13,00%	0,00%	36,00%	y	y
AT593/21				500200			Nanjing Liming Bio-Products Co., Ltd.	StrongStep®  SARS-COV2 Antigen Rapid Test	N	95,00%	80,00%	0,00%	70,00%	y	y
AT462/20							Nanjing Norman Biological Technology Co., Ltd	Novel Coronavirus (2019-nCOV) Antigen Testing Kit (Colloidal Gold)	N	94,10%	26,10%	0,00%	44,00%	y	y
AT678/21				RQ005			Nanjing Synthgene Medical Technology Co., Ltd.	Synthgene Neues Coronavirus (SARS-CoV-2) Antigen-Schnellerkennungskit (Collate Gold-Methode)	N	100,00%	35,00%	0,00%	54,00%	y	n
AT255/20				C8602C			Nanjing Vazyme Medical Technology Co., Ltd.	Vazyme SARS-CoV-2 Antigen Detection Kit (Colloidal Gold-Based)	N+S	85,00%	5,00%	0,00%	36,00%	y	n
AT090/20				FRC0G 020P			NanoEntek Inc	FREND™ COVID-19 Ag	N	88,20%	8,70%	0,00%	34,00%	y	n
AT517/20				17252668			Nantong Diagnos Biotechnology Co., Ltd.	COVID-19 Antigen Saliva Test Kit (Colloidal Gold)	N	100,00%	56,50%	0,00%	60,00%	y	y
AT425/21							Nantong Egens Biotechnology	SARS-CoV-2 Antigen Rapid Test	N	100,00%	100,00%	50,00%	90,00%	y	n
AT722/21				SVRAG			Neo-nostics (Suzhou) Bioengeneering Co., Ltd.	COVID 19 Antigen Test Kit (Colloidal Gold Method)	N	100,00%	75,00%	10,00%	72,00%	y	n
AT331/21		AT1210/21		COVID-19-NG08			New Gene (Hangzhou) Bioengineering Co., Ltd.	Covid-19-Antigen-Testkit	N	100,00%	87,00%	20,00%	78,00%	y	y
AT989/21				NBMLRS-XG-S2			Ningbo Beautiful Life Medical Biotechnology	Saliva SARS-CoV-2(2019-nCoV) Antigen Test Kit (Nanocarbon Assay)	N	100,00%	35,00%	0,00%	54,00%	y	n
AT036/21		AT034/22		MY28			Novatech Tibbi Cihaz Ürünleri San. Ve Tic.A.S.	novacheck®-Ag SARS-CoV-2 Covid-19 Antigen Rapid Test	N	94,10%	21,70%	0,00%	42,00%	y	n
AT117/20				CAT-01			Oncosem Onkolojik Sistemler San. Ve Tic.A.S.	CAT Antigen Covid Rapid Test	N	94,10%	30,40%	0,00%	46,00%	y	n
AT538/20				COV04S			PCL, Inc.	PCL COVID19 Ag Gold Saliva	N	100,00%	52,20%	0,00%	58,00%	y	y
AT209/20		AT002/22					PerGrande BioTech Development Co., Ltd.	SARS-CoV-2 Antigen Detection Kit (Colloidal Gold Immunochromatographic Assay)	N+S	100,00%	17,40%	0,00%	42,00%	y	n
AT078/20				PR-FC13			Precision Biosensor Inc. (Axon Lab AG)	Exdia COVID-19-Ag-Test	N	100,00%	60,90%	0,00%	64,00%	y	y
AT376/20				V1330			ProGnosis Biotech	Rapid Test Ag 2019-nCoV	N	94,10%	65,20%	10,00%	64,00%	y	n
AT863/21							Pro-med (Beijing) Technology Co.,Ltd.	Pro-med COVID-19 Antigen Rapid Detection Kit	N	80,00%	5,00%	0,00%	34,00%	y	n
AT935/21							Qingdao AIBO Diagnostic CO., Ltd.	Novel Coronavirus (COVID-19) Antigen Rapid Test Kit	N	100,00%	20,00%	0,00%	48,00%	y	y
AT320/20		AT1224/21		H100G			Qingdao Hightop Biotech Co., Ltd.	Hightop SARS-CoV-2 (Covid-19) Antigen Rapid Test	N	100,00%	43,50%	0,00%	54,00%	y	y
AT008/20				N6803			R-Biopharm AG	RIDA®QUICK SARS-CoV-2 Antigen	N	100,00%	17,40%	0,00%	44,00%	y	n
AT199/20				COV Ag-6012			Safecare Biotech Hangzhou Co., Ltd.	Safecare COVID-19 Ag Rapid Test Kit (Swab)	N	100,00%	60,90%	0,00%	62,00%	y	y
AT106/20				COV-06-S			Salofa OY	salocor SARS-CoV-2 Antigen Rapid Test Cassette (Nasopharyngeal swab)	N	82,40%	13,00%	0,00%	34,00%	y	n
AT506/21				S3109E			Sansure Biotech Inc.	SARS-CoV-2 Rapid Antigen Test (Colloidal Gold Method)	N	100,00%	25,00%	0,00%	50,00%	y	y
AT069/20				34			ScheBo Biotech AG	ScheBo SARS-CoV-2 Quick Antigen	N	100,00%	91,30%	10,00%	78,00%	y	y
AT023/20	AT004/20	AT1154/21		Q-NCOV-01G	9901-NCOV-01G		SD Biosensor, Inc.(Roche Diagnostics GmbH)	STANDARD Q COVID-19 Ag Test (SARS-CoV-2 Rapid Antigen Test)	N	88,90%	30,40%	0,00%	46,00%	y	y
AT022/20				F-NCOV-01G			SD Biosensor, Inc.	STANDARD F COVID-19 Ag FIA	N	100,00%	65,20%	0,00%	66,00%	y	y
AT1064/21				2.13.1.587			Senova Gesellschaft für Biowissenschaft und Technik mbH	GreenLight SARS-CoV-2 Antigen-Test	N	95,00%	10,00%	0,00%	42,00%	y	n
AT918/21		AT1291/21	AT1338/21	SCVC02			SGA Mühendislik DAN. EG. Icve DIS.Ltd.STI	V-Chek SARS-CoV-2 Rapid Ag Test Kit (Colloidal Gold)	N	94,10%	26,10%	0,00%	44,00%	y	y
AT748/21							Shanghai Liangrun Biomedicine Technology Co., Ltd.	LionRun™ SARS-CoV-2 Antigen Rapid Test Kit (Lateral Flow Immunoassay)	N	100,00%	85,00%	0,00%	74,00%	y	y
AT857/21							Shen Zhen Zi Jian Biotechnology Co., Ltd.	Zijian SARS-CoV-2 (COVID-19) Antigen Rapid Detection Kit (Lateral Flow Method)	N	80,00%	10,00%	0,00%	36,00%	y	y
AT928/21				CG201A			Shenzhen CAS-Envision Medical Technology Co., Ltd.	SARS-Cov-2 Antigen Rapid Detection Kit	N	100,00%	100,00%	70,00%	94,00%	y	y
AT260/21							Shenzhen Dymind Biotechnology Co., Ltd.	SARS-CoV-2 Antigen Test Kit (Colloidal Gold)	N	100,00%	30,00%	0,00%	52,00%	y	n
AT829/21							Shenzhen Dymind Biotechnology Co., Ltd.	SARS-CoV-2 Antigen Test Kit (Colloidal Gold)	N	100,00%	30,00%	0,00%	52,00%	y	n
AT458/21				HRK-6820			Shenzhen Huaree Technology Co., Ltd.	SARS-CoV-2 Antigen Saliva Rapid Test Kit	N	100,00%	90,00%	10,00%	78,00%	y	n
AT424/21				HRK-6620			Shenzhen Huaree Technology Co.,Ltd.	SARS-CoV-2 Antigen Rapid Test Kit (Immunochromatography)	N	100,00%	45,00%	0,00%	58,00%	y	n
AT472/21				203-020			Shenzhen Huian Biosci Technology Co., Ltd.	SARS-CoV-2Antigen Test Kit (Colloidal Gold)	N	100,00%	60,00%	0,00%	64,00%	y	y
AT1065/21				808151-1			Shenzhen Kang Sheng Bao Bio- Technology Co., Ltd.	SARS-CoV-2 Antigen Rapid Test (Lateral Flow Assay)	N	95,00%	10,00%	0,00%	42,00%	y	y
AT1019/21				150129			Shenzhen Kingfocus Biomedical Engineering Co., Ltd.	COVID-19 Antigen Detection Kit (Quantum Dots-Based Immunofluorescence Chromatography)	N	100,00%	95,00%	60,00%	90,00%	y	y
AT420/21				K602-20			Shenzhen Kisshealth Biotechnology Co., Ltd.	KISSH SARS-CoV-2 Antigen Test Kit (GICA)	N	100,00%	85,00%	10,00%	76,00%	y	n
AT417/20							Shenzhen Lvshiyuan Biotechnology Co., Ltd.	Green Spring SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold)	N	100,00%	95,70%	40,00%	86,00%	y	n
AT070/20				MF-60			Shenzhen Microprofit Biotech Co., Ltd.	fluorecare COVID-19 SARS-CoV-2 Spike Protein Test Kit (Colloidal Gold Chromatographic Immunoassay)	S	100,00%	47,80%	10,00%	58,00%	y	n
AT071/20				MF-63			Shenzhen Microprofit Biotech Co., Ltd.	SARS-CoV-2 Spike Protein Test Kit (Fluorescence Immunoassay)	S	100,00%	85,00%	10,00%	76,00%	y	n
AT544/21		AT1308/21		MF-68			Shenzhen Microprofit Biotech Co., Ltd.	fluorecare SARS-CoV-2 Antigen Test Kit	N	90,00%	15,00%	0,00%	42,00%	y	y
AT844/21				RNS92048B			Shenzhen Reagent Technology Co., Ltd.	SARS-CoV-2 Antigen IVD kit SWAB	N+S	100,00%	50,00%	0,00%	60,00%	y	y
AT108/20		AT004/22		LFA0401-25N			Shenzhen Watmind Medical Co., Ltd.	SARS-CoV-2 Ag Diagnostic Test Kit (Colloidal Gold)	N	100,00%	95,70%	20,00%	82,00%	y	y
AT385/20				LFB0401-25N			Shenzhen Watmind Medical Co., Ltd.	SARS-CoV-2 Ag Diagnostic Test Kit (Immunofluorescence)	N	100,00%	60,90%	0,00%	62,00%	y	y
AT409/21				G86247			Shenzhen YHLO Biotech Co., Ltd.	GLINE-2019-nCoV Ag	N	90,00%	30,00%	0,00%	48,00%	y	y
AT211/20							Shenzhen Zhenrui Biotech Co., Ltd.	Zhenrui COVID-19 (SARS-COV-2) Antigen Test Kits	N	82,40%	13,00%	0,00%	34,00%	y	n
AT941/21				T3701W	T3702W	T3706W	Sichuan Xincheng Biological Co., Ltd.	SARS-CoV-2 Antigen Assay Kit by Latex Immunochromatography method	N	100,00%	95,00%	40,00%	86,00%	y	n
AT837/21				SP-SW 106			Spring Healthcare Services Sp zoo	SARS-CoV-2 Antigen Schnelltestkassette (Abstrich)	N	100,00%	70,00%	0,00%	68,00%	y	y
AT010/20				CAGT025E0			Sugentech, Inc.	SGTi-flex COVID-19 Ag	N	100,00%	73,90%	0,00%	68,00%	y	n
AT789/21				COVID19AGVCG			SureScreen Diagnostics Ltd.	COVID-19 Antigen Rapid Test Cassette (Nasal Swab)	N	100,00%	20,00%	0,00%	48,00%	y	n
AT765/21							Surge Medical Inc.	COVID-19 Antigen Test Kit	N	100,00%	40,00%	0,00%	56,00%	y	y
AT830/21							Suzhou Soochow University Saier Immuno Biotech Co., Ltd.	InstantSure Covid-19 Ag CARD	N	100,00%	100,00%	80,00%	96,00%	y	n
AT848/21				04A024			TBG Biotechnology Xiamen Inc.	TBG SARS-CoV-2 Antigen Rapid Test	N	95,00%	80,00%	10,00%	72,00%	y	n
AT379/20				2276-20			Toda Pharma	Toda Coronadiag Ag	N	100,00%	95,70%	40,00%	86,00%	y	n
AT044/21				C011906			Triplex International Biosciences (China) Co., Ltd.	SARS-CoV-2 Antigen Rapid Test Kit	N	100,00%	87,00%	20,00%	78,00%	y	n
